排名,赛区排名,Team ID,团队名,赛区,最高得分,首次得分时间,最高得分时间,成员
72,5,43747,来搞笑的,京津东北赛区,76.0309,5.16.2020 14:55,5.16.2020 16:31,"mengql16 (4314), hw52443242 (141772), hw25192453 (150985)"
73,9,43823,tainanlba,成渝赛区,84.2718,,5.16.2020 15:55,"Goat10 (151169), hw53917791 (141313), JGZ123 (151170)"
74,10,43826,//sleep,成渝赛区,85.3119,,5.16.2020 16:21,"hw01269209 (94399), hw42701041 (149811), yiweijian (149970)"
75,10,43956,xd127,西北赛区,100.3292,,5.16.2020 16:17,"see-you-later (36947), clearlovek (36980), doubixiaoxuezha (84251)"
76,11,43824,Kaiju,成渝赛区,100.7353,,5.16.2020 15:55,"eomlife (137232), ellezhang (104106), hw65744364 (126255)"
77,5,43979,leave,粤港澳赛区,112.3624,,5.16.2020 16:22,hw38398165 (133300)
78,6,43856,守护全世界最好的鲲鲲,武长赛区,126.7172,,5.16.2020 16:39,"chenyj99 (36967), Bota5ky (137397), hw52602753 (137462)"
79,11,44045,龙卷风筝,复活赛区,130.7793,,5.16.2020 15:45,"hw83457767 (57273), aptx_4869 (141644)"
80,6,43748,提交试一下,京津东北赛区,173.5768,,5.16.2020 16:06,"kangkang365 (68969), zequnyu (69278)"
81,12,43809,一号小分队,成渝赛区,191.4621,,5.16.2020 16:21,"hw02333004 (34385), hw13958281 (46379), hw53266638 (34423)"
82,12,44044,小猫咪你为什么总是脱毛,复活赛区,220.4015,,5.16.2020 16:23,Growing_hw (80284)
83,6,43976,上山打老虎,粤港澳赛区,265.7792,5.16.2020 15:30,5.16.2020 15:45,"Wenxin_ (137212), Marcia_ms (136976), not_rp (35870)"
84,13,43811,求求您别作战了,成渝赛区,341.0043,,5.16.2020 16:34,"smalltrick (136930), CaptYoung (90050), hw89416826 (41925)"
85,7,43861,daimaohui,武长赛区,358.3187,5.16.2020 15:30,5.16.2020 16:39,"daimaohui (65481), hw08463549 (69010)"
86,14,43828,守护最好的鲲鲲,成渝赛区,509.565,,5.16.2020 15:15,"why___ (34287), lalalahhhh (139982), hw51804065 (110282)"
87,13,43790,gregoryfh,杭厦赛区,679.0256,,5.16.2020 16:19,gregoryfh (57269)
